mpg,cylinders,displacement,horsepower,weight,acceleration,age,model_year,origin,name
36.0,4,98.0,70.0,2125.0,17.3,42,1982,usa,mercury lynx l
36.0,4,120.0,88.0,2160.0,14.5,42,1982,japan,nissan stanza xe
36.0,4,107.0,75.0,2205.0,14.5,42,1982,japan,honda accord
34.0,4,108.0,70.0,2245.0,16.9,42,1982,japan,toyota corolla
38.0,4,91.0,67.0,1965.0,15.0,42,1982,japan,honda civic
32.0,4,91.0,67.0,1965.0,15.7,42,1982,japan,honda civic (auto)
38.0,4,91.0,67.0,1995.0,16.2,42,1982,japan,datsun 310 gx
25.0,6,181.0,110.0,2945.0,16.4,42,1982,usa,buick century limited
38.0,6,262.0,85.0,3015.0,17.0,42,1982,usa,oldsmobile cutlass ciera (diesel)
26.0,4,156.0,92.0,2585.0,14.5,42,1982,usa,chrysler lebaron medallion
22.0,6,232.0,112.0,2835.0,14.7,42,1982,usa,ford granada l
32.0,4,144.0,96.0,2665.0,13.9,42,1982,japan,toyota celica gt
36.0,4,135.0,84.0,2370.0,13.0,42,1982,usa,dodge charger 2.2
27.0,4,151.0,90.0,2950.0,17.3,42,1982,usa,chevrolet camaro
27.0,4,140.0,86.0,2790.0,15.6,42,1982,usa,ford mustang gl
32.0,4,135.0,84.0,2295.0,11.6,42,1982,usa,dodge rampage
28.0,4,120.0,79.0,2625.0,18.6,42,1982,usa,ford ranger
31.0,4,119.0,82.0,2720.0,19.4,42,1982,usa,chevy s-10
